cilindro,medidacorte,cortepassanteace,cortepassante,medidardacedb,medidaCRDacedb,infoRebaixoComp,infoRebaixoDiam,medidaRD,medidaCRD,medidaRT,medidartaced,medidaRTpassante,medidaRD_MI,medidaCRDMI,medidaRT_MI,imghasteaced,imagemdahaste,medidarebaixo,medidacomprimento,rebaixobocadechave,diamrebbocadechave,rebaixotraseira,rebaixooring,distanciaoring,diametrohaste,imgpassante,materiaprima,embolo,medidaRD_CCB,medidaRT_CCB,medidacortetubo,cortetuboccmbpassante,rosca,imagemdotubo,materiaprimatubo,diametroguia,materiaprimaguia,medidaguia,roscaguia,imagemguia,diametrotirante,materiaprimatirante,medidatirante,roscatirante,roscatiranteb,imagemtirante,rebaixoDianteiraCCMB,rebaixoTraseiraCCMB,furacao,imgAlimentacao,c,diametroc,a,diametroae,b,ctraseira,diametroctraseira,atraseira,diametroaetraseira,btraseira,roscaalimentacao,comprimentoalimentacao,diametrorebaixo,comprimentorebaixo,diamx,compx,diamz,distz,compz
ACE12S,"25,5mm",,,M3 X ,8mm F,,,M3 X ,8mm F,"M3x0,5 X 17mm",,,,8mm F,,img/hff-aced.png,img/AceS.png,"0,5mm",3mm,"3,5mm","5,7mm"," Ø5  X  7,5mm",,,Ø6,img/hfm-aced.png,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE16S,"26,5mm",,,M4 X ,10mm F,,,M4 X ,10mm F,"M4x0,7 X 20mm",,,,10mm F,,img/hff-aced.png,img/AceS.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  8,5mm",Ø5  X  2mm,"6,5mm",Ø8,img/hfm-aced.png,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE20S,"28,5mm","19,5mm","36,5mm",M6 X ,14mm F,,,M6 X ,14mm F,"M5x0,8 X 25mm",M6x1 X 12mm F,M6x1 X 16mm M,,14mm F,,img/hff-aced.png,img/AceS.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,img/hfm-aced.png,HASTE-10,,,,16mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0068Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE25S,29mm,21mm,36mm,M6 X ,15mm F,,,M6 X ,15mm F,"M5x0,8 X 15mm",M6x1 X 12mm F,M6x1 X 18mm M,,15mm F,,img/hff-aced.png,img/AceS.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,img/hfm-aced.png,HASTE-10,,,,17mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0069Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE32SG,32mm,"23,5mm","44,5mm",M8 X ,16mm F,,,M8 X ,16mm F,M6x1 X 17mm,"M8x1,25 X 21mm F","M8x1,25 X 21mm M",,16mm F,,img/hff-aced.png,img/AceS.png,1mm,"4,5mm",5mm,"11,5mm",Ø10  X  9mm,Ø9 x 2mm,7mm,Ø12,img/hfm-aced.png,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0070Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE40SG,"29,5mm",24mm,"41,5mm",M8 X,16mm F,,,M8 X ,16mm F,M6x1 X 17mm,"M8x1,25   X  25mm F","M8x1,25   X  25mm M",,16mm F,,img/hff-aced.png,img/AceS.png,1mm,5mm,"5,5mm","11,5mm","Ø9,8   X   7mm","Ø7,60 x 2mm","1,5mm",Ø12,img/hfm-aced.png,HASTE-12,,,,17mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0071Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE50SG,"28,5mm","26,5mm","53,5mm",M10 X ,20mm F,,,M10 X ,20mm F,"M8x1,25 X 21mm","M12x1,25 X 16mm F","M12x1,25 X 27mm M",,20mm F,,img/hff-aced.png,img/AceS.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X   5mm","Ø9,25 x 2mm","1,5mm",Ø16,img/hfm-aced.png,HASTE-16,,,,17mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0072Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE63SG,"30,5mm","27,5mm",56mm,M10 X ,20mm F,,,M10 X ,20mm F,"M8x1,25 X 21mm","M12x1,25 X 24mm F","M12x1,25 X 28,5mm M",,20mm F,,img/hff-aced.png,img/AceS.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8   X   5mm","Ø9,25 x 2mm","1,5mm",Ø16,img/hfm-aced.png,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0073Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE80SG,30mm,,,M12 X ,20mm F,,,M12 X ,20mm F,"M10x1,5 X 25mm", ,,,20mm F,,img/hff-aced.png,img/AceS.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,img/hfm-aced.png,HASTE-20,,,,"22,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0074Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE100SG,35mm,,,M12 X ,20mm F,,,M12 X ,20mm F,"M10x1,5 X 25mm",,,,20mm F,,img/hff-aced.png,img/AceS.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,img/hfm-aced.png,HASTE-20,,,,"29,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0075Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE125SG,"47,5mm","42,5mm","84,5mm",M16 X ,25mm F,,,M16 X ,25mm F,"M12x1,75 X 29mm","M16x1,5 X 32mm F","M16x1,5 X 42mm M",,25mm F,,img/hff-aced.png,img/AceS.png,2mm,9mm,10mm,24mm,"Ø19,8  X  5mm",,,Ø25,img/hfm-aced.png,HASTE-25,,,,"41,5mm",,,imgTubo/ace80+.png,1L2A0076Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE12SB,"35,5mm",,,,,,,"M5x0,8 X ",10mm,"M3x0,5 X 6mm",,,,,,img/aced-sb.png,img/AceB.png,"0,5mm",3mm,"3,5mm","5,7mm", Ø5  X  6mm,,,Ø6,img/hmm-aced.png,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE16SB,"38,5mm",,,,,,,"M6x1,00 X ",12mm,"M4x0,7 X 8mm",,,,,,img/aced-sb.png,img/AceB.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  8,5mm",Ø5  X  2mm,"6,5mm",Ø8,img/hmm-aced.png,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE20SB,"44,5mm","35,5mm","52,5mm",M8 X ,16mm M,,,"M8x1,25 X ",16mm,"M5x0,8 X 12mm",M6x1 X 12mm F,M6x1 X 16mm M,,,,img/aced-sb.png,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,img/hmm-aced.png,HASTE-10,,,,16mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0068Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE25SB,45mm,37mm,55mm,M8 X ,16mm M,,,"M8x1,25 X ",16mm,"M5x0,8 X 10mm",M6x1 X 12mm F,M6x1 X 18mm M,,,,img/aced-sb.png,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,img/hmm-aced.png,HASTE-10,,,,17mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0069Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE32SBG,51mm,"42,5mm","63,5mm","M10x1,25 X ",19mm M,,,"M10x1,25 X ",19mm,M6x1 X 12mm,"M8x1,25 X 21mm F","M8x1,25 X 21mm M",,,,img/aced-sb.png,img/AceB.png,1mm,"4,5mm",5mm,"11,5mm",Ø10  X  9mm,Ø9 x 2mm,7mm,Ø12,img/hmm-aced.png,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0070Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE40SBG,"48,5mm","43,5mm",72mm,"M10x1,25 X ",19mm M,,,"M10x1,25 X ",19mm,M6x1 X 12mm,M6x1 X 25mm F,M6x1 X 25mm M,,,,img/aced-sb.png,img/AceB.png,1mm,5mm,"5,5mm","11,5mm","Ø9,8  X  7mm","Ø7,60 x 2mm","1,5mm",Ø12,img/hmm-aced.png,HASTE-12,,,,17mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0071Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE50SBG,"50,5mm","48,5mm","75,5mm","M12x1,25 X ",22mm M,,,"M12x1,25 X ",22mm,"M8x1,25 X 20mm","M12x1,25 X 16mm F","M12x1,25 X 27mm M",,,,img/aced-sb.png,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,img/hmm-aced.png,HASTE-16,,,,17mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0072Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE63SBG,"52,5mm","49,5mm",78mm,"M12x1,25 X ",22mm M,,,"M12x1,25 X ",22mm,"M8x1,25 X 20mm","M12x1,25 X 24mm F","M12x1,25 X 28.5mm M",,,,img/aced-sb.png,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,img/hmm-aced.png,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0073Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE80SBG,58mm,,,,,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm", , ,,,,img/aced-sb.png,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,img/hmm-aced.png,HASTE-20,,,,"22,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0074Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE100SBG,63mm,63mm,93mm,M16x15 X ,28mm M,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm","M10x1,5 X26mm F","M10x1,5 X 30mm M",,,,img/aced-sb.png,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,img/hmm-aced.png,HASTE-20,,,,"29,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0075Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE125SBG,"87,5mm","82,5mm","124,5mm","M20x1,5 X ",40mm M,,,"M20x1,5 X ",40mm,"M12x1,75 x 24mm","M16x1,5 X 32mm F","M16x1,5 X 42mm M",,,,img/aced-sb.png,img/AceB.png,2mm,9mm,10mm,24mm,"Ø19,8  X  5mm",,,Ø25,img/hmm-aced.png,HASTE-25,,,,"41,5mm",,,imgTubo/ace80+.png,1L2A0076Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE12,"25,5mm",,,,,,,M3 X ,8mm F,"M3x0,5 X 17mm",,,,,,,img/AceS.png,"0,5mm",3mm,"3,5mm","5,7mm"," Ø5  X  7,5mm",,,Ø6,,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE16,"26,5mm",,,,,,,M4 X ,10mm F,"M4x0,7 X 20mm",,,,,,,img/AceS.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  8,5mm",Ø5  X  2mm,"6,5mm",Ø8,,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE20,"28,5mm",,,,,,,M6 X ,14mm F,"M5x0,8 X 25mm",,,,,,,img/AceS.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,16mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0068Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE25,29mm,,,,,,,M6 X ,15mm F,"M5x0,8 X 15mm",,,,,,,img/AceS.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,17mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0069Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE32SG,32mm,,,,,,,M8 X ,16mm F,M6x1 X 17mm,,,,,,,img/AceS.png,1mm,"4,5mm",5mm,"11,5mm",Ø10  X  9mm,Ø9 x 2mm,7mm,Ø12,,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0070Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE40SG,"29,5mm",,,,,,,M8 X ,16mm F,M6x1 X 17mm,,,,,,,img/AceS.png,1mm,5mm,"5,5mm","11,5mm","Ø9,8   X   7mm","Ø7,60 x 2mm","1,5mm",Ø12,,HASTE-12,,,,17mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0071Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE50SG,"28,5mm",,,,,,,M10 X ,20mm F,"M8x1,25 X 21mm",,,,,,,img/AceS.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X   5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,17mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0072Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE63SG,"30,5mm",,,,,,,M10 X ,20mm F,"M8x1,25 X 21mm",,,,,,,img/AceS.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8   X   5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0073Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE80SG,30mm,,,,,,,M12 X ,20mm F,"M10x1,5 X 25mm",,,,,,,img/AceS.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"22,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0074Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE100SG,35mm,,,,,,,M12 X ,20mm F,"M10x1,5 X 25mm",,,,,,,img/AceS.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"29,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0075Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE125SG,"47,5mm",,,,,,,M16 X ,25mm F,"M12x1,75 X 29mm",,,,,,,img/AceS.png,2mm,9mm,10mm,24mm,"Ø19,8  X  5mm",,,Ø25,,HASTE-25,,,,"41,5mm",,,imgTubo/ace80+.png,1L2A0076Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE12SB,"35,5mm",,,,,,,"M5x0,8 X ",10mm,"M3x0,5 X 6mm",,,,,,,img/AceB.png,"0,5mm",3mm,"3,5mm","5,7mm", Ø5  X  6mm,,,Ø6,,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE16SB,"38,5mm",,,,,,,"M6x1,00 X ",12mm,"M4x0,7 X 8mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  4,5mm",,,Ø8,,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE20SB,"44,5mm",,,,,,,"M8x1,25 X ",16mm,"M5x0,8 X 12mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,16mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0068Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE25SB,45mm,,,,,,,"M8x1,25 X ",16mm,"M5x0,8 X 10mm",,,,,,,img/AceB.png,"0,5mm","4,5mm",5mm,"9,7mm",Ø8  X  8mm,"Ø7,5  X  2mm",6mm ,Ø10,,HASTE-10,,,,17mm,,"M8x0,75 X 16mm",imgTubo/ace.png,1L2A0069Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE32SBG,51mm,,,,,,,"M10x1,25 X ",19mm,M6x1 X 12mm,,,,,,,img/AceB.png,1mm,"4,5mm",5mm,"11,5mm","Ø9,8  X  8mm",Ø8 x 2mm,"4,5mm",Ø12,,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0070Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE40SBG,"48,5mm",,,,,,,"M10x1,25 X ",19mm,M6x1 X 12mm,,,,,,,img/AceB.png,1mm,5mm,"5,5mm","11,5mm","Ø9,8  X  7mm","Ø7,60 x 2mm","1,5mm",Ø12,,HASTE-12,,,,17mm,,M10x1 X 20mm,imgTubo/ace.png,1L2A0071Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE50SBG,"50,5mm",,,,,,,"M12x1,25 X ",22mm,"M8x1,25 X 16mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,17mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0072Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE63SBG,"52,5mm",,,,,,,"M12x1,25 X ",22mm,"M8x1,25 X 16mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,"15,5mm","Ø11,8  X  5mm","Ø9,25 x 2mm","1,5mm",Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ace.png,1L2A0073Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE80SBG,58mm,,,,,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"22,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0074Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE100SBG,63mm,,,,,,,"M16x1,5 X ",28mm,"M10x1,5 X 20mm",,,,,,,img/AceB.png,"1,5mm",7mm,8mm,19mm, ,,,Ø20,,HASTE-20,,,,"29,5mm",,M6x1 X 16mm,imgTubo/ace80+.png,1L2A0075Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE125SBG,"87,5mm",,,,,,,"M20x1,5 X ",40mm,"M12x1,75 x 24mm",,,,,,,img/AceB.png,2mm,9mm,10mm,24mm,"Ø19,8  X  5mm",,,Ø25,,HASTE-25,,,,"41,5mm",,,imgTubo/ace80+.png,1L2A0076Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE12S,"25,5mm",,,,,,,M3 X ,8mm F,"M3x0,5 X 17mm",,,,,,,img/AceS.png,"0,5mm",3mm,"3,5mm","5,7mm","Ø5  X  7,5mm",,,Ø6,,HASTE-06,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0066Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATE16S,"26,5mm",,,,,,,M4 X ,10mm F,"M4x0,7 X 20mm",,,,,,,img/AceS.png,"0,5mm","4,5mm",5mm,"7,7mm","Ø6  X  8,5mm",Ø5  X  2mm,"6,5mm",Ø8,,HASTE-08,,,,15mm,,"M6x0,5 X 12mm",imgTubo/ace.png,1L2A0067Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
